"filename", "language", "JavaScript", "JavaScript JSX", "CSS", "comment", "blank", "total"
"c:\Users\Inframet\Desktop\infrabox\INFRABOX\src\components\Infrabox.jsx", "JavaScript JSX", 0, -28, 0, 0, -4, -32
"c:\Users\Inframet\Desktop\infrabox\INFRABOX\src\components\calculation\CalculationItem.jsx", "JavaScript JSX", 0, -850, 0, 0, -30, -880
"c:\Users\Inframet\Desktop\infrabox\INFRABOX\src\components\calculation\CalculationList.jsx", "JavaScript JSX", 0, -170, 0, 0, -17, -187
"c:\Users\Inframet\Desktop\infrabox\INFRABOX\src\components\calculation\Calculations.jsx", "JavaScript JSX", 0, -91, 0, 0, -6, -97
"c:\Users\Inframet\Desktop\infrabox\INFRABOX\src\components\calculation\css\CalculationItem.module.css", "CSS", 0, 0, -79, 0, -6, -85
"c:\Users\Inframet\Desktop\infrabox\INFRABOX\src\components\calculation\css\CalculationList.module.css", "CSS", 0, 0, -121, -4, -13, -138
"c:\Users\Inframet\Desktop\infrabox\INFRABOX\src\components\calculation\css\Calculations.module.css", "CSS", 0, 0, -7, 0, -1, -8
"c:\Users\Inframet\Desktop\infrabox\INFRABOX\src\components\calculation\service\calculationManager.js", "JavaScript", -58, 0, 0, 0, -4, -62
"c:\Users\Inframet\Desktop\infrabox\INFRABOX\src\components\calculation\validationSchema\calculationItemValidationSchema.js", "JavaScript", -24, 0, 0, 0, -2, -26
"c:\Users\Inframet\Desktop\infrabox\INFRABOX\src\components\cart\Cart.jsx", "JavaScript JSX", 0, -107, 0, -2, -14, -123
"c:\Users\Inframet\Desktop\infrabox\INFRABOX\src\components\cart\css\Cart.module.css", "CSS", 0, 0, -116, -4, -7, -127
"c:\Users\Inframet\Desktop\infrabox\INFRABOX\src\components\cart\service\cartManager.js", "JavaScript", -92, 0, 0, 0, -22, -114
"c:\Users\Inframet\Desktop\infrabox\INFRABOX\src\components\common\DeleteModal.jsx", "JavaScript JSX", 0, -30, 0, 0, -4, -34
"c:\Users\Inframet\Desktop\infrabox\INFRABOX\src\components\common\Error.jsx", "JavaScript JSX", 0, -25, 0, 0, -5, -30
"c:\Users\Inframet\Desktop\infrabox\INFRABOX\src\components\common\InfoModal.jsx", "JavaScript JSX", 0, -28, 0, 0, -3, -31
"c:\Users\Inframet\Desktop\infrabox\INFRABOX\src\components\common\Input.jsx", "JavaScript JSX", 0, -28, 0, 0, -2, -30
"c:\Users\Inframet\Desktop\infrabox\INFRABOX\src\components\common\Loader.jsx", "JavaScript JSX", 0, -25, 0, 0, -5, -30
"c:\Users\Inframet\Desktop\infrabox\INFRABOX\src\components\common\Notifications.jsx", "JavaScript JSX", 0, -17, 0, 0, -2, -19
"c:\Users\Inframet\Desktop\infrabox\INFRABOX\src\components\common\css\DeleteModal.module.css", "CSS", 0, 0, -101, -4, -4, -109
"c:\Users\Inframet\Desktop\infrabox\INFRABOX\src\components\common\css\Error.module.css", "CSS", 0, 0, -41, 0, -1, -42
"c:\Users\Inframet\Desktop\infrabox\INFRABOX\src\components\common\css\InfoModal.module.css", "CSS", 0, 0, -101, -4, -6, -111
"c:\Users\Inframet\Desktop\infrabox\INFRABOX\src\components\common\css\Loader.module.css", "CSS", 0, 0, -42, 0, -1, -43
"c:\Users\Inframet\Desktop\infrabox\INFRABOX\src\components\common\service\showNotification.js", "JavaScript", -6, 0, 0, 0, -2, -8
"c:\Users\Inframet\Desktop\infrabox\INFRABOX\src\components\header\Header.jsx", "JavaScript JSX", 0, -42, 0, 0, -5, -47
"c:\Users\Inframet\Desktop\infrabox\INFRABOX\src\components\header\Header.module.css", "CSS", 0, 0, -44, -4, -3, -51
"c:\Users\Inframet\Desktop\infrabox\INFRABOX\src\components\login\Login.jsx", "JavaScript JSX", 0, -84, 0, 0, -6, -90
"c:\Users\Inframet\Desktop\infrabox\INFRABOX\src\components\login\Login.module.css", "CSS", 0, 0, -121, -5, -4, -130
"c:\Users\Inframet\Desktop\infrabox\INFRABOX\src\components\login\validationSchema.js", "JavaScript", -5, 0, 0, 0, -2, -7
"c:\Users\Inframet\Desktop\infrabox\INFRABOX\src\components\logout\Logout.jsx", "JavaScript JSX", 0, -28, 0, 0, -3, -31
"c:\Users\Inframet\Desktop\infrabox\INFRABOX\src\components\logout\Logout.module.css", "CSS", 0, 0, -85, -4, -4, -93
"c:\Users\Inframet\Desktop\infrabox\INFRABOX\src\components\main\Main.jsx", "JavaScript JSX", 0, -57, 0, 0, -4, -61
"c:\Users\Inframet\Desktop\infrabox\INFRABOX\src\components\main\Main.module.css", "CSS", 0, 0, -45, -4, -3, -52
"c:\Users\Inframet\Desktop\infrabox\INFRABOX\src\components\material\Dimensions.jsx", "JavaScript JSX", 0, -158, 0, 0, -3, -161
"c:\Users\Inframet\Desktop\infrabox\INFRABOX\src\components\material\GlobalFilter.jsx", "JavaScript JSX", 0, -21, 0, 0, -2, -23
"c:\Users\Inframet\Desktop\infrabox\INFRABOX\src\components\material\MaterialGroupItem.jsx", "JavaScript JSX", 0, -101, 0, 0, -7, -108
"c:\Users\Inframet\Desktop\infrabox\INFRABOX\src\components\material\MaterialGroupItemDetails.jsx", "JavaScript JSX", 0, -75, 0, 0, -8, -83
"c:\Users\Inframet\Desktop\infrabox\INFRABOX\src\components\material\MaterialGroupList.jsx", "JavaScript JSX", 0, -76, 0, 0, -5, -81
"c:\Users\Inframet\Desktop\infrabox\INFRABOX\src\components\material\MaterialGroupModal_ADD.jsx", "JavaScript JSX", 0, -150, 0, -1, -7, -158
"c:\Users\Inframet\Desktop\infrabox\INFRABOX\src\components\material\MaterialGroupModal_EDIT.jsx", "JavaScript JSX", 0, -148, 0, -1, -8, -157
"c:\Users\Inframet\Desktop\infrabox\INFRABOX\src\components\material\MaterialList.jsx", "JavaScript JSX", 0, -202, 0, -3, -39, -244
"c:\Users\Inframet\Desktop\infrabox\INFRABOX\src\components\material\MaterialModal_ADD.jsx", "JavaScript JSX", 0, -208, 0, 0, -14, -222
"c:\Users\Inframet\Desktop\infrabox\INFRABOX\src\components\material\MaterialModal_EDIT.jsx", "JavaScript JSX", 0, -208, 0, 0, -12, -220
"c:\Users\Inframet\Desktop\infrabox\INFRABOX\src\components\material\Result.jsx", "JavaScript JSX", 0, -26, 0, 0, -2, -28
"c:\Users\Inframet\Desktop\infrabox\INFRABOX\src\components\material\TableColumn.jsx", "JavaScript JSX", 0, -257, 0, 0, -37, -294
"c:\Users\Inframet\Desktop\infrabox\INFRABOX\src\components\material\css\Material.module.css", "CSS", 0, 0, -76, -4, -6, -86
"c:\Users\Inframet\Desktop\infrabox\INFRABOX\src\components\material\css\MaterialGroupList.module.css", "CSS", 0, 0, -39, 0, -3, -42
"c:\Users\Inframet\Desktop\infrabox\INFRABOX\src\components\material\css\MaterialItem.module.css", "CSS", 0, 0, -19, 0, -2, -21
"c:\Users\Inframet\Desktop\infrabox\INFRABOX\src\components\material\css\MaterialItemDetails.module.css", "CSS", 0, 0, -23, 0, -2, -25
"c:\Users\Inframet\Desktop\infrabox\INFRABOX\src\components\material\css\MaterialList.module.css", "CSS", 0, 0, -116, -4, -19, -139
"c:\Users\Inframet\Desktop\infrabox\INFRABOX\src\components\material\css\MaterialModal.module.css", "CSS", 0, 0, -113, -4, -8, -125
"c:\Users\Inframet\Desktop\infrabox\INFRABOX\src\components\material\css\Result.module.css", "CSS", 0, 0, -3, 0, -1, -4
"c:\Users\Inframet\Desktop\infrabox\INFRABOX\src\components\material\css\TableColumn.module.css", "CSS", 0, 0, -27, 0, -4, -31
"c:\Users\Inframet\Desktop\infrabox\INFRABOX\src\components\material\service\calcualteTotalPrice.js", "JavaScript", -4, 0, 0, 0, -1, -5
"c:\Users\Inframet\Desktop\infrabox\INFRABOX\src\components\material\service\calcualteVolume.js", "JavaScript", -13, 0, 0, 0, -1, -14
"c:\Users\Inframet\Desktop\infrabox\INFRABOX\src\components\material\service\calculatePrice.js", "JavaScript", -4, 0, 0, 0, -1, -5
"c:\Users\Inframet\Desktop\infrabox\INFRABOX\src\components\material\service\calculateWeight.js", "JavaScript", -4, 0, 0, 0, -1, -5
"c:\Users\Inframet\Desktop\infrabox\INFRABOX\src\components\material\service\materialList.js", "JavaScript", -110, 0, 0, 0, -1, -111
"c:\Users\Inframet\Desktop\infrabox\INFRABOX\src\components\material\service\materialManager.js", "JavaScript", -161, 0, 0, 0, -9, -170
"c:\Users\Inframet\Desktop\infrabox\INFRABOX\src\components\material\validationSchema\materialGroupValidationSchema.js", "JavaScript", -24, 0, 0, 0, -3, -27
"c:\Users\Inframet\Desktop\infrabox\INFRABOX\src\components\material\validationSchema\plateValidationSchema.js", "JavaScript", -18, 0, 0, 0, -2, -20
"c:\Users\Inframet\Desktop\infrabox\INFRABOX\src\components\material\validationSchema\rodValidationSchema.js", "JavaScript", -23, 0, 0, 0, -2, -25
"c:\Users\Inframet\Desktop\infrabox\INFRABOX\src\components\material\validationSchema\tubeValidationSchema.js", "JavaScript", -27, 0, 0, 0, -2, -29
"c:\Users\Inframet\Desktop\infrabox\INFRABOX\src\components\navSidebar\NavSidebar.jsx", "JavaScript JSX", 0, -102, 0, -2, -4, -108
"c:\Users\Inframet\Desktop\infrabox\INFRABOX\src\components\navSidebar\NavSidebar.module.css", "CSS", 0, 0, -92, -5, -13, -110
"c:\Users\Inframet\Desktop\infrabox\INFRABOX\src\components\order\OrderItem.jsx", "JavaScript JSX", 0, -543, 0, -4, -27, -574
"c:\Users\Inframet\Desktop\infrabox\INFRABOX\src\components\order\OrderList.jsx", "JavaScript JSX", 0, -85, 0, 0, -6, -91
"c:\Users\Inframet\Desktop\infrabox\INFRABOX\src\components\order\OrderTable.jsx", "JavaScript JSX", 0, -185, 0, 0, -22, -207
"c:\Users\Inframet\Desktop\infrabox\INFRABOX\src\components\order\css\OrderItem.module.css", "CSS", 0, 0, -130, 0, -7, -137
"c:\Users\Inframet\Desktop\infrabox\INFRABOX\src\components\order\css\OrderList.module.css", "CSS", 0, 0, -7, 0, -1, -8
"c:\Users\Inframet\Desktop\infrabox\INFRABOX\src\components\order\css\OrderTable.module.css", "CSS", 0, 0, -148, -4, -15, -167
"c:\Users\Inframet\Desktop\infrabox\INFRABOX\src\components\order\service\orderManager.js", "JavaScript", -108, 0, 0, -2, -4, -114
