Date : 2023-08-18 14:19:47
Directory : c:\Users\Inframet\Desktop\infrabox\INFRABOX\src
Total : 174 files,  239384 codes, 136 comments, 1019 blanks, all 240539 lines

Languages
+----------------+------------+------------+------------+------------+------------+
| language       | files      | code       | comment    | blank      | total      |
+----------------+------------+------------+------------+------------+------------+
| JSON           |         23 |    226,434 |          0 |         23 |    226,457 |
| JavaScript JSX |         59 |      8,251 |         16 |        592 |      8,859 |
| CSS            |         50 |      3,371 |         94 |        275 |      3,740 |
| JavaScript     |         40 |      1,325 |         25 |        129 |      1,479 |
| XML            |          2 |          3 |          1 |          0 |          4 |
+----------------+------------+------------+------------+------------+------------+

Directories
+---------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                            | files      | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                               |        174 |    239,384 |        136 |      1,019 |    240,539 |
| . (Files)                                                                                                                       |          8 |        107 |         19 |         16 |        142 |
| assets                                                                                                                          |         24 |    226,436 |          1 |         23 |    226,460 |
| assets (Files)                                                                                                                  |          1 |          2 |          1 |          0 |          3 |
| assets\Lottie                                                                                                                   |         23 |    226,434 |          0 |         23 |    226,457 |
| components                                                                                                                      |        139 |     12,824 |        116 |        978 |     13,918 |
| components (Files)                                                                                                              |          1 |         28 |          0 |          4 |         32 |
| components\calculation                                                                                                          |          8 |      1,548 |          8 |         82 |      1,638 |
| components\calculation (Files)                                                                                                  |          3 |      1,200 |          0 |         53 |      1,253 |
| components\calculation\css                                                                                                      |          3 |        266 |          8 |         23 |        297 |
| components\calculation\service                                                                                                  |          1 |         58 |          0 |          4 |         62 |
| components\calculation\validationSchema                                                                                         |          1 |         24 |          0 |          2 |         26 |
| components\cart                                                                                                                 |          3 |        354 |          5 |         43 |        402 |
| components\cart (Files)                                                                                                         |          1 |        137 |          1 |         15 |        153 |
| components\cart\css                                                                                                             |          1 |        125 |          4 |          6 |        135 |
| components\cart\service                                                                                                         |          1 |         92 |          0 |         22 |        114 |
| components\common                                                                                                               |         13 |        636 |         12 |         47 |        695 |
| components\common (Files)                                                                                                       |          7 |        239 |          0 |         28 |        267 |
| components\common\css                                                                                                           |          5 |        391 |         12 |         17 |        420 |
| components\common\service                                                                                                       |          1 |          6 |          0 |          2 |          8 |
| components\dashboard                                                                                                            |          2 |        163 |          0 |         10 |        173 |
| components\dashboard (Files)                                                                                                    |          1 |        116 |          0 |          2 |        118 |
| components\dashboard\css                                                                                                        |          1 |         47 |          0 |          8 |         55 |
| components\header                                                                                                               |          2 |        135 |          4 |         14 |        153 |
| components\login                                                                                                                |          3 |        208 |          5 |         12 |        225 |
| components\logout                                                                                                               |          2 |         91 |          4 |          7 |        102 |
| components\main                                                                                                                 |          2 |        107 |          4 |          7 |        118 |
| components\material                                                                                                             |         30 |      2,469 |         14 |        223 |      2,706 |
| components\material (Files)                                                                                                     |         12 |      1,657 |          5 |        149 |      1,811 |
| components\material\css                                                                                                         |          8 |        421 |          8 |         49 |        478 |
| components\material\service                                                                                                     |          6 |        296 |          0 |         14 |        310 |
| components\material\validationSchema                                                                                            |          4 |         95 |          1 |         11 |        107 |
| components\navSidebar                                                                                                           |          2 |        206 |          7 |         17 |        230 |
| components\notification                                                                                                         |          3 |        416 |          4 |         23 |        443 |
| components\notification (Files)                                                                                                 |          1 |        254 |          0 |         15 |        269 |
| components\notification\css                                                                                                     |          1 |        162 |          4 |          7 |        173 |
| components\notification\service                                                                                                 |          1 |          0 |          0 |          1 |          1 |
| components\order                                                                                                                |          8 |      1,270 |         14 |         88 |      1,372 |
