"filename", "language", "CSS", "JavaScript", "XML", "JavaScript JSX", "JSON", "comment", "blank", "total"
"c:\Users\Inframet\Desktop\infrabox\INFRABOX\src\App.css", "CSS", 11, 0, 0, 0, 0, 0, 2, 13
"c:\Users\Inframet\Desktop\infrabox\INFRABOX\src\App.js", "JavaScript", 0, 53, 0, 0, 0, 12, 4, 69
"c:\Users\Inframet\Desktop\infrabox\INFRABOX\src\App.test.js", "JavaScript", 0, 7, 0, 0, 0, 0, 2, 9
"c:\Users\Inframet\Desktop\infrabox\INFRABOX\src\assets\Lottie\add.json", "JSON", 0, 0, 0, 0, 475, 0, 1, 476
"c:\Users\Inframet\Desktop\infrabox\INFRABOX\src\assets\Lottie\box_v2.json", "JSON", 0, 0, 0, 0, 42523, 0, 1, 42524
"c:\Users\Inframet\Desktop\infrabox\INFRABOX\src\assets\Lottie\calculation.json", "JSON", 0, 0, 0, 0, 22049, 0, 1, 22050
"c:\Users\Inframet\Desktop\infrabox\INFRABOX\src\assets\Lottie\contact.json", "JSON", 0, 0, 0, 0, 3047, 0, 1, 3048
"c:\Users\Inframet\Desktop\infrabox\INFRABOX\src\assets\Lottie\delete.json", "JSON", 0, 0, 0, 0, 887, 0, 1, 888
"c:\Users\Inframet\Desktop\infrabox\INFRABOX\src\assets\Lottie\department_cost.json", "JSON", 0, 0, 0, 0, 15112, 0, 1, 15113
"c:\Users\Inframet\Desktop\infrabox\INFRABOX\src\assets\Lottie\department_cost2.json", "JSON", 0, 0, 0, 0, 12030, 0, 1, 12031
"c:\Users\Inframet\Desktop\infrabox\INFRABOX\src\assets\Lottie\department_cost3.json", "JSON", 0, 0, 0, 0, 16551, 0, 1, 16552
"c:\Users\Inframet\Desktop\infrabox\INFRABOX\src\assets\Lottie\eco_v4.json", "JSON", 0, 0, 0, 0, 26462, 0, 1, 26463
"c:\Users\Inframet\Desktop\infrabox\INFRABOX\src\assets\Lottie\edit.json", "JSON", 0, 0, 0, 0, 828, 0, 1, 829
"c:\Users\Inframet\Desktop\infrabox\INFRABOX\src\assets\Lottie\error.json", "JSON", 0, 0, 0, 0, 376, 0, 1, 377
"c:\Users\Inframet\Desktop\infrabox\INFRABOX\src\assets\Lottie\infinite.json", "JSON", 0, 0, 0, 0, 1299, 0, 1, 1300
"c:\Users\Inframet\Desktop\infrabox\INFRABOX\src\assets\Lottie\info.json", "JSON", 0, 0, 0, 0, 715, 0, 1, 716
"c:\Users\Inframet\Desktop\infrabox\INFRABOX\src\assets\Lottie\loading.json", "JSON", 0, 0, 0, 0, 8986, 0, 1, 8987
"c:\Users\Inframet\Desktop\infrabox\INFRABOX\src\assets\Lottie\logout.json", "JSON", 0, 0, 0, 0, 360, 0, 1, 361
"c:\Users\Inframet\Desktop\infrabox\INFRABOX\src\assets\Lottie\my_profile.json", "JSON", 0, 0, 0, 0, 10754, 0, 1, 10755
"c:\Users\Inframet\Desktop\infrabox\INFRABOX\src\assets\Lottie\network.json", "JSON", 0, 0, 0, 0, 45690, 0, 1, 45691
"c:\Users\Inframet\Desktop\infrabox\INFRABOX\src\assets\Lottie\no-data-animation.json", "JSON", 0, 0, 0, 0, 291, 0, 1, 292
"c:\Users\Inframet\Desktop\infrabox\INFRABOX\src\assets\Lottie\no-data.json", "JSON", 0, 0, 0, 0, 454, 0, 1, 455
"c:\Users\Inframet\Desktop\infrabox\INFRABOX\src\assets\Lottie\no_price_data.json", "JSON", 0, 0, 0, 0, 537, 0, 1, 538
"c:\Users\Inframet\Desktop\infrabox\INFRABOX\src\assets\Lottie\notification.json", "JSON", 0, 0, 0, 0, 3708, 0, 1, 3709
"c:\Users\Inframet\Desktop\infrabox\INFRABOX\src\assets\Lottie\order.json", "JSON", 0, 0, 0, 0, 2528, 0, 1, 2529
"c:\Users\Inframet\Desktop\infrabox\INFRABOX\src\assets\Lottie\profile.json", "JSON", 0, 0, 0, 0, 10772, 0, 1, 10773
"c:\Users\Inframet\Desktop\infrabox\INFRABOX\src\assets\system.svg", "XML", 0, 0, 2, 0, 0, 1, 0, 3
"c:\Users\Inframet\Desktop\infrabox\INFRABOX\src\components\Infrabox.jsx", "JavaScript JSX", 0, 0, 0, 28, 0, 0, 4, 32
"c:\Users\Inframet\Desktop\infrabox\INFRABOX\src\components\calculation\CalculationItem.jsx", "JavaScript JSX", 0, 0, 0, 939, 0, 0, 30, 969
"c:\Users\Inframet\Desktop\infrabox\INFRABOX\src\components\calculation\CalculationList.jsx", "JavaScript JSX", 0, 0, 0, 170, 0, 0, 17, 187
"c:\Users\Inframet\Desktop\infrabox\INFRABOX\src\components\calculation\Calculations.jsx", "JavaScript JSX", 0, 0, 0, 91, 0, 0, 6, 97
"c:\Users\Inframet\Desktop\infrabox\INFRABOX\src\components\calculation\css\CalculationItem.module.css", "CSS", 135, 0, 0, 0, 0, 4, 9, 148
"c:\Users\Inframet\Desktop\infrabox\INFRABOX\src\components\calculation\css\CalculationList.module.css", "CSS", 124, 0, 0, 0, 0, 4, 13, 141
"c:\Users\Inframet\Desktop\infrabox\INFRABOX\src\components\calculation\css\Calculations.module.css", "CSS", 7, 0, 0, 0, 0, 0, 1, 8
"c:\Users\Inframet\Desktop\infrabox\INFRABOX\src\components\calculation\service\calculationManager.js", "JavaScript", 0, 58, 0, 0, 0, 0, 4, 62
"c:\Users\Inframet\Desktop\infrabox\INFRABOX\src\components\calculation\validationSchema\calculationItemValidationSchema.js", "JavaScript", 0, 24, 0, 0, 0, 0, 2, 26
"c:\Users\Inframet\Desktop\infrabox\INFRABOX\src\components\cart\Cart.jsx", "JavaScript JSX", 0, 0, 0, 137, 0, 1, 15, 153
"c:\Users\Inframet\Desktop\infrabox\INFRABOX\src\components\cart\css\Cart.module.css", "CSS", 125, 0, 0, 0, 0, 4, 6, 135
"c:\Users\Inframet\Desktop\infrabox\INFRABOX\src\components\cart\service\cartManager.js", "JavaScript", 0, 92, 0, 0, 0, 0, 22, 114
"c:\Users\Inframet\Desktop\infrabox\INFRABOX\src\components\common\DeleteModal.jsx", "JavaScript JSX", 0, 0, 0, 30, 0, 0, 4, 34
"c:\Users\Inframet\Desktop\infrabox\INFRABOX\src\components\common\Error.jsx", "JavaScript JSX", 0, 0, 0, 25, 0, 0, 5, 30
"c:\Users\Inframet\Desktop\infrabox\INFRABOX\src\components\common\InfoModal.jsx", "JavaScript JSX", 0, 0, 0, 28, 0, 0, 3, 31
"c:\Users\Inframet\Desktop\infrabox\INFRABOX\src\components\common\Input.jsx", "JavaScript JSX", 0, 0, 0, 28, 0, 0, 2, 30
"c:\Users\Inframet\Desktop\infrabox\INFRABOX\src\components\common\Loader.jsx", "JavaScript JSX", 0, 0, 0, 25, 0, 0, 5, 30
"c:\Users\Inframet\Desktop\infrabox\INFRABOX\src\components\common\Notifications.jsx", "JavaScript JSX", 0, 0, 0, 17, 0, 0, 2, 19
"c:\Users\Inframet\Desktop\infrabox\INFRABOX\src\components\common\PriceChart.jsx", "JavaScript JSX", 0, 0, 0, 86, 0, 0, 7, 93
"c:\Users\Inframet\Desktop\infrabox\INFRABOX\src\components\common\css\DeleteModal.module.css", "CSS", 101, 0, 0, 0, 0, 4, 4, 109
"c:\Users\Inframet\Desktop\infrabox\INFRABOX\src\components\common\css\Error.module.css", "CSS", 41, 0, 0, 0, 0, 0, 1, 42
"c:\Users\Inframet\Desktop\infrabox\INFRABOX\src\components\common\css\InfoModal.module.css", "CSS", 103, 0, 0, 0, 0, 4, 6, 113
"c:\Users\Inframet\Desktop\infrabox\INFRABOX\src\components\common\css\Loader.module.css", "CSS", 42, 0, 0, 0, 0, 0, 1, 43
"c:\Users\Inframet\Desktop\infrabox\INFRABOX\src\components\common\css\PriceChart.module.css", "CSS", 104, 0, 0, 0, 0, 4, 5, 113
"c:\Users\Inframet\Desktop\infrabox\INFRABOX\src\components\common\service\showNotification.js", "JavaScript", 0, 6, 0, 0, 0, 0, 2, 8
"c:\Users\Inframet\Desktop\infrabox\INFRABOX\src\components\dashboard\Dashboard.jsx", "JavaScript JSX", 0, 0, 0, 116, 0, 0, 2, 118
"c:\Users\Inframet\Desktop\infrabox\INFRABOX\src\components\dashboard\css\Dashboard.module.css", "CSS", 47, 0, 0, 0, 0, 0, 8, 55
"c:\Users\Inframet\Desktop\infrabox\INFRABOX\src\components\header\Header.jsx", "JavaScript JSX", 0, 0, 0, 93, 0, 0, 11, 104
"c:\Users\Inframet\Desktop\infrabox\INFRABOX\src\components\header\Header.module.css", "CSS", 42, 0, 0, 0, 0, 4, 3, 49
"c:\Users\Inframet\Desktop\infrabox\INFRABOX\src\components\login\Login.jsx", "JavaScript JSX", 0, 0, 0, 84, 0, 0, 6, 90
"c:\Users\Inframet\Desktop\infrabox\INFRABOX\src\components\login\Login.module.css", "CSS", 119, 0, 0, 0, 0, 5, 4, 128
"c:\Users\Inframet\Desktop\infrabox\INFRABOX\src\components\login\validationSchema.js", "JavaScript", 0, 5, 0, 0, 0, 0, 2, 7
"c:\Users\Inframet\Desktop\infrabox\INFRABOX\src\components\logout\Logout.jsx", "JavaScript JSX", 0, 0, 0, 29, 0, 0, 3, 32
"c:\Users\Inframet\Desktop\infrabox\INFRABOX\src\components\logout\Logout.module.css", "CSS", 62, 0, 0, 0, 0, 4, 4, 70
"c:\Users\Inframet\Desktop\infrabox\INFRABOX\src\components\main\Main.jsx", "JavaScript JSX", 0, 0, 0, 62, 0, 0, 4, 66
"c:\Users\Inframet\Desktop\infrabox\INFRABOX\src\components\main\Main.module.css", "CSS", 45, 0, 0, 0, 0, 4, 3, 52
"c:\Users\Inframet\Desktop\infrabox\INFRABOX\src\components\material\Dimensions.jsx", "JavaScript JSX", 0, 0, 0, 158, 0, 0, 3, 161
"c:\Users\Inframet\Desktop\infrabox\INFRABOX\src\components\material\GlobalFilter.jsx", "JavaScript JSX", 0, 0, 0, 21, 0, 0, 2, 23
"c:\Users\Inframet\Desktop\infrabox\INFRABOX\src\components\material\MaterialGroupItem.jsx", "JavaScript JSX", 0, 0, 0, 101, 0, 0, 7, 108
"c:\Users\Inframet\Desktop\infrabox\INFRABOX\src\components\material\MaterialGroupItemDetails.jsx", "JavaScript JSX", 0, 0, 0, 75, 0, 0, 8, 83
"c:\Users\Inframet\Desktop\infrabox\INFRABOX\src\components\material\MaterialGroupList.jsx", "JavaScript JSX", 0, 0, 0, 73, 0, 0, 5, 78
"c:\Users\Inframet\Desktop\infrabox\INFRABOX\src\components\material\MaterialGroupModal_ADD.jsx", "JavaScript JSX", 0, 0, 0, 150, 0, 1, 7, 158
"c:\Users\Inframet\Desktop\infrabox\INFRABOX\src\components\material\MaterialGroupModal_EDIT.jsx", "JavaScript JSX", 0, 0, 0, 148, 0, 1, 8, 157
"c:\Users\Inframet\Desktop\infrabox\INFRABOX\src\components\material\MaterialList.jsx", "JavaScript JSX", 0, 0, 0, 215, 0, 3, 41, 259
"c:\Users\Inframet\Desktop\infrabox\INFRABOX\src\components\material\MaterialModal_ADD.jsx", "JavaScript JSX", 0, 0, 0, 209, 0, 0, 15, 224
"c:\Users\Inframet\Desktop\infrabox\INFRABOX\src\components\material\MaterialModal_EDIT.jsx", "JavaScript JSX", 0, 0, 0, 216, 0, 0, 13, 229
"c:\Users\Inframet\Desktop\infrabox\INFRABOX\src\components\material\Result.jsx", "JavaScript JSX", 0, 0, 0, 26, 0, 0, 2, 28
"c:\Users\Inframet\Desktop\infrabox\INFRABOX\src\components\material\TableColumn.jsx", "JavaScript JSX", 0, 0, 0, 265, 0, 0, 38, 303
"c:\Users\Inframet\Desktop\infrabox\INFRABOX\src\components\material\css\Material.module.css", "CSS", 76, 0, 0, 0, 0, 4, 6, 86
"c:\Users\Inframet\Desktop\infrabox\INFRABOX\src\components\material\css\MaterialGroupList.module.css", "CSS", 39, 0, 0, 0, 0, 0, 3, 42
"c:\Users\Inframet\Desktop\infrabox\INFRABOX\src\components\material\css\MaterialItem.module.css", "CSS", 19, 0, 0, 0, 0, 0, 2, 21
"c:\Users\Inframet\Desktop\infrabox\INFRABOX\src\components\material\css\MaterialItemDetails.module.css", "CSS", 23, 0, 0, 0, 0, 0, 2, 25
"c:\Users\Inframet\Desktop\infrabox\INFRABOX\src\components\material\css\MaterialList.module.css", "CSS", 121, 0, 0, 0, 0, 0, 23, 144
"c:\Users\Inframet\Desktop\infrabox\INFRABOX\src\components\material\css\MaterialModal.module.css", "CSS", 113, 0, 0, 0, 0, 4, 8, 125
